Order,PID,MS SubClass,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,price_per_sqft,total_bathrooms,age_at_sale,quality_x_area,SalePrice_log,age_group
382,527359050,20,80.0,0.0338099201322782,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,1976,1976,Gable,CompShg,HdBoard,HdBoard,189.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,1090.0,1090.0,GasA,TA,Y,SBrkr,1370,0,0,-0.2435217317745709,0.0,0.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,479.0,TA,TA,Y,0,0,0,0,0,0,0,6,2009,WD ,Family,152000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-624174.2734513199,2.0,33,-1.7046521224219964,11.93164237875414,Old
835,906475070,60,68.0,2.307081966861277,Pave,IR2,Low,AllPub,CulDSac,Sev,Norm,Norm,1Fam,2Story,5,5,1967,1967,Flat,Tar&Grv,Plywood,Plywood,0.0,TA,TA,PConc,TA,Gd,Gd,LwQ,249.0,ALQ,764.0,0.0,1013.0,GasA,TA,Y,SBrkr,1160,966,0,1.254955935641122,0.0,1.0,2,1,3,1,TA,7,Min2,0,Unknown,Attchd,1967.0,Fin,538.0,TA,TA,Y,486,0,0,0,225,0,0,6,2009,WD ,Abnorml,185000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,147415.5344788968,2.5,42,6.27477967820561,12.128116509451258,Old
1899,534429030,90,70.0,-0.0355138202805964,Pave,Reg,Lvl,AllPub,FR2,Gtl,Norm,Norm,Duplex,1Story,4,5,1962,1962,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,Slab,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1224,0,0,-0.5329102760109349,0.0,0.0,2,0,2,2,TA,6,Typ,0,Unknown,CarPort,1962.0,Unf,462.0,TA,TA,Y,0,0,0,0,0,0,0,3,2007,WD ,Normal,101800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-191026.5284468096,2.0,45,-2.1316411040437395,11.530775206233024,Old
679,535451170,90,60.0,-0.3637455804433472,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Duplex,1Story,4,5,1949,1950,Gable,CompShg,BrkFace,Stone,0.0,TA,TA,Slab,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,0.0,0.0,0.0,Wall,Fa,N,FuseF,1040,0,0,-0.897619126281421,0.0,0.0,2,0,2,2,TA,6,Typ,0,Unknown,Detchd,1956.0,Unf,420.0,TA,TA,Y,0,0,0,0,0,0,0,6,2009,WD ,Normal,90000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-100265.24320269804,2.0,60,-3.590476505125684,11.407576060361786,Old
701,902109130,190,63.0,-0.3106967683352872,Pave,Reg,Lvl,AllPub,Corner,Gtl,Artery,Norm,2fmCon,2Story,4,6,1920,1950,Gable,CompShg,AsbShng,AsbShng,0.0,Fa,TA,BrkTil,Fa,Po,No,Unf,0.0,Unf,0.0,600.0,600.0,GasA,Gd,N,SBrkr,1101,600,0,0.4125577760489666,0.0,0.0,2,0,4,2,Fa,8,Typ,0,Unknown,Unknown,1979.0,Unknown,0.0,Unknown,Unknown,N,0,0,148,0,0,0,0,10,2009,WD ,Normal,94550.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,229180.02153661463,2.0,89,1.6502311041958664,11.45689465044527,Old
2074,905352180,60,97.0,-0.0122816707157082,Pave,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,6,5,1988,1989,Gable,CompShg,Plywood,Plywood,268.0,Gd,TA,PConc,Gd,TA,No,GLQ,831.0,Unf,0.0,320.0,1151.0,GasA,TA,Y,SBrkr,1164,896,0,1.124136456739752,0.0,1.0,2,1,4,1,TA,8,Typ,1,TA,Attchd,1988.0,Unf,521.0,TA,TA,Y,0,228,0,0,192,0,0,9,2007,WD ,Normal,211000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,187699.6326691044,2.5,19,6.744818740438513,12.259618151783464,Recent
2444,528315070,60,84.0,-0.0581247893758351,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,242.0,Gd,TA,PConc,Gd,TA,No,GLQ,791.0,Unf,0.0,253.0,1044.0,GasA,Ex,Y,SBrkr,1079,897,0,0.9576389381380084,1.0,0.0,2,1,3,1,Gd,7,Typ,1,Ex,Attchd,1998.0,Fin,885.0,TA,TA,Y,210,31,0,0,0,0,0,2,2006,WD ,Normal,286000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,298651.1811602878,2.5,8,7.661111505104067,12.563750586299374,New
2584,535303050,20,75.0,0.1468647656084718,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,1954,1954,Hip,CompShg,Wd Sdng,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1367.0,1367.0,GasA,Ex,Y,SBrkr,1375,0,0,-0.2336111651911338,0.0,0.0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1954.0,Unf,451.0,TA,TA,Y,0,30,0,0,0,0,0,6,2006,WD ,Normal,140000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-599286.4248823728,1.0,52,-1.401666991146803,11.849404844423074,Old
1916,535126180,60,68.0,1.0339104762678362,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,6,5,1965,1979,Flat,Tar&Grv,Plywood,Plywood,113.0,TA,Gd,CBlock,Gd,TA,No,LwQ,187.0,Rec,723.0,111.0,1021.0,GasA,TA,Y,SBrkr,1465,915,0,1.7584127180797278,0.0,0.0,2,1,3,1,TA,7,Sev,1,Po,CarPort,1965.0,Unf,596.0,TA,TA,Y,0,265,0,0,0,0,0,8,2007,WD ,Abnorml,129000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,73361.6167999935,2.5,42,10.550476308478366,11.767575435251748,Old
880,907410130,20,85.0,0.0089627013463017,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,180.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1478.0,Unf,0.0,100.0,1578.0,GasA,Ex,Y,SBrkr,1602,0,0,0.2163285576969115,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,810.0,TA,TA,Y,0,48,0,0,195,0,0,1,2009,WD ,Normal,293200.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1355345.7903176595,2.0,2,1.7306284615752925,12.58861365963002,New
